Id,ActivityDate,TotalDistance,TotalSteps,VeryActiveDistance,VeryActiveMinutes,Calories,weekday_number,weekday
1503960366,2016-04-12,8.5,13162,1.88,25,1985,3,Tuesday
1503960366,2016-04-13,6.97,10735,1.57,21,1797,4,Wednesday
1503960366,2016-04-14,6.74,10460,2.44,30,1776,5,Thursday
1503960366,2016-04-15,6.28,9762,2.14,29,1745,6,Friday
1503960366,2016-04-16,8.16,12669,2.71,36,1863,7,Saturday
1503960366,2016-04-17,6.48,9705,3.19,38,1728,1,Sunday
1503960366,2016-04-18,8.59,13019,3.25,42,1921,2,Monday
1503960366,2016-04-19,9.88,15506,3.53,50,2035,3,Tuesday
1503960366,2016-04-20,6.68,10544,1.96,28,1786,4,Wednesday
1503960366,2016-04-21,6.34,9819,1.34,19,1775,5,Thursday
1503960366,2016-04-22,8.13,12764,4.76,66,1827,6,Friday
1503960366,2016-04-23,9.04,14371,2.81,41,1949,7,Saturday
1503960366,2016-04-24,6.41,10039,2.92,39,1788,1,Sunday
1503960366,2016-04-25,9.8,15355,5.29,73,2013,2,Monday
1503960366,2016-04-26,8.79,13755,2.33,31,1970,3,Tuesday
1503960366,2016-04-27,12.21,18134,6.4,78,2159,4,Wednesday
1503960366,2016-04-28,8.53,13154,3.54,48,1898,5,Thursday
1503960366,2016-04-30,9.25,14673,3.56,52,1947,7,Saturday
1503960366,2016-05-01,6.81,10602,2.29,33,1820,1,Sunday
1503960366,2016-05-02,9.71,14727,3.21,41,2004,2,Monday
1503960366,2016-05-03,9.66,15103,3.73,50,1990,3,Tuesday
1503960366,2016-05-04,7.15,11100,2.46,36,1819,4,Wednesday
1503960366,2016-05-05,8.9,14070,2.92,45,1959,5,Thursday
1503960366,2016-05-06,8.03,12159,1.97,24,1896,6,Friday
1503960366,2016-05-07,7.71,11992,2.46,37,1821,7,Saturday
1503960366,2016-05-08,6.58,10060,3.53,44,1740,1,Sunday
1503960366,2016-05-09,7.72,12022,3.45,46,1819,2,Monday
1503960366,2016-05-10,7.77,12207,3.35,46,1859,3,Tuesday
1503960366,2016-05-11,8.13,12770,2.56,36,1783,4,Wednesday
1624580081,2016-04-17,4.06,6175,1.03,15,1554,1,Sunday
1624580081,2016-04-18,7.41,10536,2.15,17,1604,2,Monday
1624580081,2016-04-24,3.95,6076,1.15,16,1617,1,Sunday
1624580081,2016-04-27,5.44,8367,1.11,17,1670,4,Wednesday
1624580081,2016-04-30,4.3,6474,0.9,11,1655,7,Saturday
1624580081,2016-05-01,28.03,36019,21.92,186,2690,1,Sunday
1624580081,2016-05-02,4.93,7155,0.86,7,1497,2,Monday
1644430081,2016-04-13,5.82,8001,2.28,30,2902,4,Wednesday
1644430081,2016-04-15,3.83,5263,0.22,3,2750,6,Friday
1644430081,2016-04-16,11.12,15300,4.1,51,3493,7,Saturday
1644430081,2016-04-17,6.37,8757,2.25,29,3011,1,Sunday
1644430081,2016-04-18,5.19,7132,1.07,15,2806,2,Monday
1644430081,2016-04-26,7.21,9919,0.8,11,3123,3,Tuesday
1644430081,2016-04-30,13.24,18213,0.63,9,3846,7,Saturday
1644430081,2016-05-01,4.46,6132,0.24,3,2696,1,Sunday
1644430081,2016-05-03,9.34,12850,0.72,10,3324,3,Tuesday
1644430081,2016-05-05,3.19,4363,0.52,6,2463,5,Thursday
1644430081,2016-05-06,7.12,9787,0.82,11,3328,6,Friday
1644430081,2016-05-07,9.72,13372,3.26,41,3404,7,Saturday
