Id,avg_TotalSteps,avg_TotalDistance,avg_Calories,avg_SedentaryMins
1503960366,12116.74,7.81,1816.42,848.16
1624580081,5743.9,3.91,1483.35,1257.74
1644430081,7282.97,5.3,2811.3,1161.87
1844505072,2580.06,1.71,1573.48,1206.61
1927972279,916.13,0.63,2172.81,1317.42
2022484408,11370.65,8.08,2509.97,1112.58
2026352035,5566.87,3.45,1540.65,689.42
2320127002,4716.87,3.19,1724.16,1220.1
2347167796,9519.67,6.36,2043.44,687.17
2873212765,7555.77,5.1,1916.97,1097.19
3372868164,6861.65,4.71,1933.1,1077.55
3977333714,10984.57,7.52,1513.67,707.53
4020332650,2267.23,1.63,2385.81,1237.26
4319703577,7268.84,4.89,2037.68,735.81
4388161847,10813.94,8.39,3093.87,836.68
4445114986,4796.55,3.25,2186.19,829.9
4558609924,7685.13,5.08,2033.26,1093.61
4702921684,8572.06,6.96,2965.55,766.42
5553957443,8612.58,5.64,1875.68,668.35
5577150313,8304.43,6.21,3359.63,754.43
6117666160,7046.71,5.34,2261.14,796.29
6290855005,5649.55,4.27,2599.62,1193.03
6775888955,2519.69,1.81,2131.77,1299.42
6962181067,9794.81,6.59,1982.03,662.32
7007744171,11323.42,8.02,2544,1055.35
7086361926,9371.77,6.39,2566.35,850.45
8053475328,14763.29,11.48,2945.81,1148
8253242879,6482.16,4.67,1788,1287.37
8378563200,8717.71,6.91,3436.58,716.13
8583815059,7198.52,5.62,2732.03,1267.23
8792009665,1853.72,1.19,1962.31,1060.48
8877689391,16040.03,13.21,3420.26,1112.87
4057192912,3838,2.86,1973.75,1217.25
