Id,avg_Calories,time_of_day
1503960366,100.71,Evening
1503960366,93.57,Afternoon
1503960366,73.19,Morning
1503960366,51.5,Night
1624580081,66.78,Afternoon
1624580081,65.27,Morning
1624580081,64.92,Evening
1624580081,53,Night
1644430081,148.92,Evening
1644430081,136.2,Afternoon
1644430081,109.45,Morning
1644430081,88.65,Night
1844505072,71.81,Afternoon
1844505072,70.99,Evening
1844505072,66.71,Morning
1844505072,57.87,Night
1927972279,95.12,Afternoon
1927972279,93.29,Morning
1927972279,91,Evening
1927972279,86.27,Night
2022484408,138.47,Afternoon
2022484408,136.08,Morning
2022484408,74.87,Evening
2022484408,62,Night
2026352035,79.01,Afternoon
2026352035,71.56,Morning
2026352035,59.48,Evening
2026352035,47.66,Night
2320127002,79.27,Evening
2320127002,76.78,Afternoon
2320127002,73.6,Morning
2320127002,61.79,Night
2347167796,101.84,Afternoon
2347167796,101.32,Morning
2347167796,95.54,Evening
2347167796,57.06,Night
2873212765,109.08,Morning
2873212765,85.28,Afternoon
2873212765,63.47,Evening
2873212765,55.16,Night
3372868164,97.62,Morning
3372868164,93.97,Afternoon
3372868164,73.63,Evening
3372868164,57.77,Night
3977333714,88.21,Evening
3977333714,77.13,Afternoon
3977333714,56.02,Morning
3977333714,44.36,Night
4020332650,110.75,Afternoon
4020332650,110.12,Evening
4020332650,97.26,Morning
4020332650,88.55,Night
4057192912,99.61,Morning
4057192912,96.86,Afternoon
4057192912,81.93,Evening
4057192912,74.88,Night
4319703577,98.3,Afternoon
4319703577,94,Morning
4319703577,86.49,Evening
4319703577,62.48,Night
4388161847,155.84,Afternoon
4388161847,139.3,Morning
4388161847,122.04,Evening
4388161847,92.85,Night
4445114986,113.09,Afternoon
4445114986,104.85,Evening
4445114986,81.76,Morning
4445114986,73.49,Night
4558609924,116.08,Afternoon
4558609924,85.93,Evening
4558609924,84.29,Morning
4558609924,57.11,Night
4702921684,144.44,Afternoon
4702921684,139.81,Evening
4702921684,134.7,Morning
4702921684,85.81,Night
5553957443,98.3,Afternoon
5553957443,82.98,Morning
5553957443,80.41,Evening
5553957443,57.1,Night
5577150313,185.24,Morning
5577150313,155.58,Afternoon
5577150313,133.97,Evening
5577150313,86.69,Night
6117666160,117.71,Afternoon
6117666160,93.31,Morning
6117666160,90.18,Evening
6117666160,66.19,Night
6290855005,137.43,Morning
6290855005,127.95,Afternoon
6290855005,94.27,Evening
6290855005,86.16,Night
6775888955,98.56,Morning
6775888955,92.91,Afternoon
6775888955,92.55,Evening
6775888955,79.51,Night
6962181067,110.37,Morning
6962181067,90.92,Afternoon
6962181067,73.53,Evening
6962181067,54.98,Night
7007744171,162.64,Morning
7007744171,117.19,Afternoon
7007744171,82.15,Evening
7007744171,65.03,Night
7086361926,177.78,Afternoon
7086361926,97.73,Evening
7086361926,90.81,Morning
7086361926,69.76,Night
8053475328,181.37,Evening
8053475328,175.26,Afternoon
8053475328,81.86,Morning
8053475328,77.65,Night
8253242879,95.6,Morning
8253242879,83.56,Afternoon
8253242879,71.52,Evening
8253242879,59.06,Night
8378563200,164.91,Morning
8378563200,147.6,Afternoon
8378563200,145.18,Night
8378563200,111.83,Evening
8583815059,139.83,Afternoon
8583815059,110.27,Morning
8583815059,105.08,Evening
8583815059,86.24,Night
8792009665,96.26,Afternoon
8792009665,85.16,Evening
8792009665,79.98,Morning
8792009665,77.2,Night
8877689391,214.52,Afternoon
8877689391,153.04,Morning
8877689391,128.9,Evening
8877689391,76.12,Night
