Id,avg_heartRate,avg_steps,avg_veryActiveDistance,avg_TotalActiveMinutes
2022484408,80.24,11370.65,2.42,313.1
2026352035,93.78,5566.87,0.01,257
2347167796,76.72,9519.67,1.06,286.56
4020332650,82.3,2267.23,0.14,87.48
4388161847,66.13,10813.94,1.72,272.87
4558609924,81.67,7685.13,0.55,309.06
5553957443,68.63,8612.58,1.46,242.61
5577150313,69.56,8304.43,3.11,265.1
6117666160,83.75,7046.71,0.13,291.96
6775888955,92.03,2519.69,0.71,65.96
6962181067,77.72,9794.81,1.62,287.13
7007744171,91.12,11323.42,2.42,328.04
8792009665,72.49,1853.72,0.02,96.79
8877689391,83.61,16040.03,6.64,310.71
